"country","male_emigrants","female_emigrants","total_emigrants","male_percent_emigrants","female_percent_emigrants","male_immigrants","female_immigrants","total_immigrants","male_percent_immigrants","female_percent_immigrants","Remittances","labourforce_female","labourforce_male","Inheritance_law","Violence_against_women_law","Violence_against_women_attitudes","percentage_violence","FGM_law","Citizenship_rights","Inequality_voting_rights","percentage_women_parliament","Insecurity_feeling","Access_to_justice","Child_marriage_law","Girls_married","total"
"Madagascar",71206,113570,184776,38.5363900073603,61.4636099926397,19897,15037,34934,56.9559741226312,43.0440258773688,"2.8903644164514559",48.7216401627304,51.2783598372696,0.25,0.5,45.2,30,1,0.75,0.5,19.2,64.4,0.75,0.5,39.9,6.52664591461751
"Malawi",200448,124095,324543,61.7631561919376,38.2368438080624,117932,129720,247652,47.6200474859884,52.3799525140116,"2.5478793485332969",49.4872395857954,50.5127604142046,0.5,0.5,16.3,37.5,1,1,0.25,16.7,69.5,0.25,0.25,26.9,5.72285623944054
"Malaysia",733326,955989,1689315,43.4096660480727,56.5903339519273,2097159,1333221,3430380,61.1348888461337,38.8651111538663,"0.43742127691083088",38.7451284948099,61.2548715051901,0.5,0.75,41.5,10.4,1,1,0.5,10.4,66.8,0.75,1,6.1,6.62022723148705
"Maldives",1420,1633,3053,46.5116279069767,53.4883720930233,60709,8540,69249,87.6676919522304,12.3323080477696,"0.0789519316573323",26.7327206395407,73.2672793604593,1,0.75,30.8,19.5,1,0.5,0.25,5.9,66.1,0.75,0.5,5.4,5.97592767341171
"Mali",719864,544845,1264709,56.9193387569789,43.0806612430211,237428,230802,468230,50.7075582512868,49.2924417487132,"5.6231875638270168",41.6000772726114,58.3999227273886,0.5,0.75,72.6,34.6,1,0,0.25,8.8,47.6,0.75,1,44,6.88057963719452
"Malta",54259,56907,111166,48.8089883597503,51.1910116402497,45986,38963,84949,54.133656664587,45.866343335413,"1.6833829783651451",40.0953413763499,59.9046586236501,0,0.25,0,15,0,0,0.5,11.9,74,0,0.75,0.5,1.91939486920284
"Mauritania",79112,49397,128509,61.5614470581827,38.4385529418173,97766,75221,172987,56.5163856243533,43.4836143756467,"0.79913097247583209",33.5073842891559,66.4926157108441,1,0.75,26.6,78,0.75,1,0.25,25.2,44,0.75,0.5,29.3,7.60594191213576
"Mauritius",85194,103212,188406,45.2183051495175,54.7816948504825,15979,12870,28849,55.3884016777011,44.6115983222989,"2.206316556619913",39.4983456147838,60.5016543852162,0.5,0.5,86.2,38,1,0,0.25,11.6,64.7,0.75,0.5,7.3,5.96434601605269
"Mexico",6277778,5518713,11796491,53.2173338664862,46.7826661335138,531912,528795,1060707,50.1469303021475,49.8530696978525,"3.07497461292527",38.3312033091978,61.6687966908022,0.25,0.5,5,14.1,1,0,0.25,42.6,65.7,0.25,0.75,19,4.69465460965215
"Mongolia",35153,38341,73494,47.831115465208,52.168884534792,14114,7014,21128,66.8023475956077,33.1976524043923,"3.9484460452226449",45.2277180099957,54.7722819900043,0,0.25,10.1,31.2,1,0,0.25,17.1,65.4,0.25,0.5,5.3,3.38945677217467
