"country","male_emigrants","female_emigrants","total_emigrants","male_percent_emigrants","female_percent_emigrants","male_immigrants","female_immigrants","total_immigrants","male_percent_immigrants","female_percent_immigrants"
"Netherlands",496339,484758,981097,50.5902066768118,49.4097933231882,1103004,1179787,2282791,48.3182209847507,51.6817790152493
"New_Caledonia",2364,2469,4833,48.9137181874612,51.0862818125388,37984,34553,72537,52.3649999310697,47.6350000689303
"New_Zealand",398413,389302,787715,50.5783183004005,49.4216816995995,516814,551925,1068739,48.357363210288,51.642636789712
"Nicaragua",320782,372362,693144,46.2792724166984,53.7207275833016,21704,20468,42172,51.4654272977331,48.5345727022669
"Niger",232174,160092,392266,59.1878980079844,40.8121019920156,139426,154735,294161,47.3978535563858,52.6021464436142
"Nigeria",776073,696974,1473047,52.6848769930627,47.3151230069373,689321,567087,1256408,54.8644230218209,45.1355769781791
"Niue",2749,2844,5593,49.150724119435,50.849275880565,319,269,588,54.2517006802721,45.7482993197279
"Norway",88557,116820,205377,43.1192392526914,56.8807607473086,451599,416166,867765,52.041624172443,47.958375827557
"Oman",12068,10393,22461,53.7286852767018,46.2713147232982,1911526,374700,2286226,83.6105441894196,16.3894558105804
"Pakistan",4234386,2275598,6509984,65.044491660809,34.955508339191,1714663,1543315,3257978,52.6296678491997,47.3703321508003
"Palau",1382,1268,2650,52.1509433962264,47.8490566037736,2875,2191,5066,56.750888274773,43.249111725227
"Panama",78707,83551,162258,48.507315509867,51.492684490133,94396,90676,185072,51.0050142647186,48.9949857352814
"Papua_New_Guinea",2336,2417,4753,49.1479065853145,50.8520934146855,18944,12268,31212,60.6946046392413,39.3053953607587
"Paraguay",374733,501905,876638,42.7466069232682,57.2533930767318,83412,77107,160519,51.9639419632567,48.0360580367433
"Peru",648219,895993,1544212,41.9773321279721,58.0226678720279,424317,357852,782169,54.248762096171,45.751237903829
"Philippines",2754933,3241228,5996161,45.9449471086584,54.0550528913416,113239,105291,218530,51.8185146204182,48.1814853795818
"Poland",2212963,2358593,4571556,48.4072162738464,51.5927837261536,289754,366231,655985,44.1708270768386,55.8291729231614
"Portugal",1105701,1050091,2155792,51.2897812033814,48.7102187966186,411750,476412,888162,46.3597857147683,53.6402142852317
"Puerto_Rico",906849,945609,1852458,48.9538224348406,51.0461775651594,123980,142848,266828,46.464389044628,53.535610955372
"Qatar",13243,13069,26312,50.3306476132563,49.6693523867437,1845678,384010,2229688,82.7774110099709,17.2225889900291
"Korea,_Rep.",1148330,1159039,2307369,49.7679391549423,50.2320608450577,652746,510909,1163655,56.0944609871483,43.9055390128517
"Republic_of_Moldova",481699,547827,1029526,46.7884249644982,53.2115750355018,42839,61874,104713,40.9108706655334,59.0891293344666
"Réunion",1153,2084,3237,35.6194006796416,64.3805993203584,65524,63629,129153,50.7336260094616,49.2663739905384
"Romania",1710646,1939650,3650296,46.8632132846213,53.1367867153787,248851,213701,462552,53.7995728047874,46.2004271952126
"Russian_Federation",4603318,5971887,10575205,43.5293500220563,56.4706499779437,5713879,5926680,11640559,49.0859502537636,50.9140497462364
"Rwanda",243927,255286,499213,48.8623092747985,51.1376907252015,269917,270015,539932,49.9909247831208,50.0090752168792
"Saint_Helena",2582,4014,6596,39.1449363250455,60.8550636749545,302,131,433,69.7459584295612,30.2540415704388
"Saint_Kitts_and_Nevis",19585,24102,43687,44.8302698743333,55.1697301256667,3992,3595,7587,52.6163173850007,47.3836826149993
"Saint_Lucia",26608,37010,63618,41.8246408249238,58.1753591750762,4026,4357,8383,48.0257664320649,51.9742335679351
"Saint_Pierre_and_Miquelon",244,187,431,56.6125290023202,43.3874709976798,519,471,990,52.4242424242424,47.5757575757576
"Saint_Vincent_and_the_Grenadines",31805,36169,67974,46.7899490981846,53.2100509018154,2398,2294,4692,51.1082693947144,48.8917306052856
"Samoa",61096,63170,124266,49.1654998149132,50.8345001850868,2038,1997,4035,50.5080545229244,49.4919454770756
"San_Marino",980,1445,2425,40.4123711340206,59.5876288659794,2936,2571,5507,53.3139640457599,46.6860359542401
"Sao_Tome_and_Principe",17382,19631,37013,46.9618782589901,53.0381217410099,1085,1089,2174,49.9080036798528,50.0919963201472
"Saudi_Arabia",166096,137808,303904,54.6541012951458,45.3458987048542,9001182,4121156,13122338,68.5943465257487,31.4056534742513
"Senegal",401227,249255,650482,61.6814915708659,38.3185084291341,145996,129243,275239,53.0433550477948,46.9566449522052
"Serbia",470672,493998,964670,48.7909855183638,51.2090144816362,361216,459096,820312,44.0339773159481,55.9660226840519
"Seychelles",12752,17169,29921,42.6188964272584,57.3811035727416,9049,3877,12926,70.0061890762804,29.9938109237196
"Sierra_Leone",76957,78020,154977,49.657045884228,50.342954115772,30724,23608,54332,56.5486269601708,43.4513730398292
"Singapore",167642,184594,352236,47.593658796943,52.406341203057,950192,1205461,2155653,44.0790795179001,55.9209204820999
"Sint_Maarten",13875,13743,27618,50.2389745817945,49.7610254182055,13540,14720,28260,47.9122434536447,52.0877565463553
"Slovak_Republic",166174,191625,357799,46.4433941961828,53.5566058038172,96010,91974,187984,51.0734956166482,48.9265043833518
"Slovenia",66342,77463,143805,46.1333055178888,53.8666944821112,142626,110496,253122,56.3467418873113,43.6532581126887
"Solomon_Islands",2058,2176,4234,48.606518658479,51.393481341521,1421,1111,2532,56.1216429699842,43.8783570300158
"Somalia",1067138,1000959,2068097,51.5999974856112,48.4000025143888,27184,24947,52131,52.1455563867948,47.8544436132052
"South_Africa",416974,446475,863449,48.291676752188,51.708323247812,2350362,1873894,4224256,55.6396676716563,44.3603323283437
"South_Sudan",1281486,1303732,2585218,49.5697461490675,50.4302538509325,441677,423875,865552,51.0283610921123,48.9716389078877
"Spain",648799,760148,1408947,46.048502889037,53.951497110963,2913747,3190456,6104203,47.7334551291954,52.2665448708046
"Sri_Lanka",1107793,802677,1910470,57.9853648578622,42.0146351421378,20909,19109,40018,52.2489879554201,47.7510120445799
"State_of_Palestine",2019313,1835057,3854370,52.390222007747,47.609777992253,112452,141283,253735,44.3186789366859,55.6813210633141
"Sudan",1125738,915045,2040783,55.1620627964855,44.8379372035145,607151,615941,1223092,49.6406648068992,50.3593351931008
"Suriname",125906,158662,284568,44.2446093728037,55.7553906271963,25227,20930,46157,54.6547652577074,45.3452347422926
"Sweden",160117,199655,359772,44.5051310274285,55.4948689725715,1008536,996674,2005210,50.295779494417,49.704220505583
"Switzerland",322973,376677,699650,46.1620810405203,53.8379189594797,1265343,1306686,2572029,49.1962959982177,50.8037040017823
"Syrian_Arab_Republic",4861046,3413822,8274868,58.7446953836605,41.2553046163395,444710,423138,867848,51.24284436906,48.75715563094
"Tajikistan",333952,245197,579149,57.6625358931812,42.3374641068188,118207,155864,274071,43.1300648372137,56.8699351627863
"Thailand",340550,639426,979976,34.75085104125,65.24914895875,1825505,1809580,3635085,50.2190457719696,49.7809542280304
"Timor-Leste",21660,17542,39202,55.2522830467833,44.7477169532167,5086,3331,8417,60.4253296899133,39.5746703100867
"Togo",264960,265889,530849,49.9124986578104,50.0875013421896,141286,137856,279142,50.614382643959,49.385617356041
"Tokelau",1129,1113,2242,50.35682426405,49.64317573595,242,262,504,48.015873015873,51.984126984127
"Tonga",31309,32343,63652,49.1877710048388,50.8122289951612,2048,1704,3752,54.5842217484009,45.4157782515991
"Trinidad_and_Tobago",165908,234106,400014,41.4755483558075,58.5244516441925,29114,30135,59249,49.138382082398,50.861617917602
"Tunisia",466817,364817,831634,56.1325054050219,43.8674945949781,29744,27711,57455,51.7692106866243,48.2307893133757
"Turkiye",1803961,1648546,3452507,52.2507557551657,47.7492442448343,3258212,2618617,5876829,55.4416676067995,44.5583323932005
"Turkmenistan",116444,126419,242863,47.9463730580615,52.0536269419385,92240,102887,195127,47.2717768427742,52.7282231572258
"Turks_and_Caicos_Islands",1141,1612,2753,41.4456956047948,58.5543043952052,12695,11839,24534,51.744517812016,48.255482187984
"Tuvalu",1616,1660,3276,49.3284493284493,50.6715506715507,131,107,238,55.0420168067227,44.9579831932773
"Uganda",365691,382798,748489,48.8572310347914,51.1427689652086,836620,897546,1734166,48.2433630921146,51.7566369078854
"Ukraine",2694012,3284771,5978783,45.0595380364198,54.9404619635802,2135064,2829229,4964293,43.0084203329658,56.9915796670342
"United_Arab_Emirates",86738,76009,162747,53.2962205140494,46.7037794859506,6326020,2261236,8587256,73.6675371038199,26.3324628961801
"United_Kingdom",2395016,2334072,4729088,50.6443525686137,49.3556474313863,4581996,4970114,9552110,47.968417449129,52.031582550871
"United_Republic_of_Tanzania",160024,162810,322834,49.5685088931154,50.4314911068846,251424,257742,509166,49.3795736557429,50.6204263442571
"United_States_of_America",1455843,1451805,2907648,50.0694375660328,49.9305624339672,24488382,26172767,50661149,48.3375969226438,51.6624030773562
"United_States_Virgin_Islands",2285,1815,4100,55.7317073170732,44.2682926829268,26740,30005,56745,47.123094545775,52.876905454225
"Uruguay",174505,196664,371169,47.0149716167029,52.9850283832971,36988,44494,81482,45.3940747649788,54.6059252350212
"Uzbekistan",1024600,961627,1986227,51.5852417674314,48.4147582325686,545048,623336,1168384,46.649731595092,53.350268404908
"Vanuatu",3477,3869,7346,47.3318812959434,52.6681187040566,1612,1633,3245,49.6764252696456,50.3235747303544
"Venezuela",1223566,1311410,2534976,48.267360322149,51.732639677851,685975,689715,1375690,49.8640682130422,50.1359317869578
"Vietnam",1394062,1463376,2857438,48.7871302894411,51.2128697105589,44087,32017,76104,57.9299379796069,42.0700620203931
"Wallis_and_Futuna_Islands",5631,6189,11820,47.6395939086294,52.3604060913706,516,506,1022,50.4892367906067,49.5107632093933
"Yemen",814668,434043,1248711,65.2407162265728,34.7592837734272,202414,183214,385628,52.4894457871316,47.5105542128684
"Zambia",149898,167546,317444,47.2202971232721,52.7797028767279,86098,84151,170249,50.5718095260471,49.4281904739529
"Zimbabwe",472252,469438,941690,50.1494122269537,49.8505877730463,233652,177605,411257,56.8141089391791,43.1858910608209
